frame_num,Head_x,L_shoulder_x,R_shoulder_x,R_elbow_x,R_wrist_x,L_elbow_x,L_wrist_x,Head_y,L_shoulder_y,R_shoulder_y,R_elbow_y,R_wrist_y,L_elbow_y,L_wrist_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,left_status,left_angle,left_direction,left_count,right_status,right_angle,right_direction,right_count,left_dist_travel,right_dist_travel,left_accel,right_accel
69,832.1274,582.35077,894.423,639.9161,782.73364,640.86646,700.2272,653.9386,725.8343,668.9779,953.66095,644.6366,995.1294,613.5203,681,529,1040,693,PARTIALLY BENT,138.56076,up,4,FULLY BENT,39.42911,up,8,1944.1681867476311,2139.3394024567488,22.17198848167047,32.54449772748037
70,829.36523,586.13293,895.6068,631.0607,770.7234,631.3003,690.0073,640.74963,754.0201,676.09,965.369,648.49036,1008.0405,642.3877,669,526,1056,720,PARTIALLY BENT,157.83322,up,4,FULLY BENT,35.579517,up,8,1975.7913180944079,2168.4086488964845,21.163352524821235,31.46819621705044
71,837.84125,582.19556,902.73706,632.51556,767.9547,621.0368,668.5523,629.9762,733.6961,644.30035,981.68225,665.3474,1019.71515,693.93604,657,519,1069,735,STRAIGHT,165.65001,down,4,FULLY BENT,17.539991,up,8,2028.64515551167,2206.139899126657,23.136499624294007,32.52304672814789
72,834.0451,571.9115,904.5974,630.2688,763.042,621.0838,659.5939,628.8796,724.9787,608.76385,971.4971,676.0511,1022.884,709.72815,645,514,1054,730,STRAIGHT,178.85414,up,4,FULLY BENT,12.790954,down,8,2044.7520581770502,2242.7300064180613,22.528627452040805,33.30744608940066
73,839.32434,561.8852,908.9874,622.09717,760.78613,621.521,658.5249,622.4823,720.8717,577.0978,972.5958,661.2857,992.8301,700.48755,643,510,1012,720,PARTIALLY BENT,148.9376,down,4,FULLY BENT,35.513657,down,8,2076.1944697629133,2274.6613047933038,24.157904942582757,34.38689460340231
74,836.306,558.6176,904.77374,616.41833,763.7312,618.7877,668.2713,614.2729,717.11975,556.6626,974.23004,655.9312,1001.0104,703.26605,651,506,1036,725,PARTIALLY BENT,149.13464,down,4,FULLY BENT,52.412807,down,8,2084.833761063937,2295.4380649118852,24.302519756118464,35.4356478041125
75,838.30756,560.93896,895.73975,613.6709,768.0562,620.41406,690.0704,613.7862,712.9855,543.3048,955.79535,642.5653,978.34357,683.7251,670,498,1018,708,PARTIALLY BENT,144.40836,down,4,FULLY BENT,76.84726,down,8,2114.7608915686073,2309.421009941594,25.158959318364996,34.54064376389513
76,831.202,562.70593,889.42847,616.6566,765.1905,622.2417,701.96564,615.65375,718.871,543.4144,945.1304,649.78876,968.36505,695.865,683,484,1002,721,PARTIALLY BENT,147.50493,down,4,FULLY BENT,82.777435,down,8,2130.475463337726,2315.3075287443976,23.44645742495893,31.22313106753592
77,824.64777,566.1833,880.6071,611.081,770.05884,627.6398,718.25903,626.24915,716.29755,567.67145,947.38586,623.2413,938.7653,653.3435,685,496,975,687,FULLY BENT,84.33994,down,5,PARTIALLY BENT,93.45564,down,8,2182.2849290277713,2339.700673080244,23.602462202871358,26.838403753843533
78,823.1159,567.8434,877.16455,610.54156,781.017,625.24164,733.3986,647.57367,719.4885,609.3152,943.2867,622.3145,941.5621,631.65015,684,507,978,707,FULLY BENT,89.62914,down,5,FULLY BENT,84.85476,down,9,2204.157827050727,2381.4664873830075,23.353885745191178,28.151498154179237
79,820.78644,574.75336,873.8595,612.8665,784.1377,627.7579,747.8732,676.4349,739.0182,657.4166,949.3852,624.0212,942.74695,617.9255,697,506,991,740,FULLY BENT,34.158855,up,5,FULLY BENT,61.653225,down,9,2217.9335487301946,2433.3813822751385,22.9093893124456,30.741358031446623
80,820.4105,575.51166,878.6362,610.5054,766.01404,631.2396,751.02246,686.6027,750.534,713.70685,974.07556,624.59814,949.8159,592.7058,717,511,1005,736,FULLY BENT,44.341003,up,5,STRAIGHT,165.88087,up,9,2244.1251859891777,2490.8374781052703,23.483197548247563,33.73208646706986
81,815.296,579.5337,874.0391,619.9589,753.3851,636.2276,739.62634,697.2681,763.13885,730.0242,971.4879,633.79517,949.07434,585.65356,706,514,1003,758,FULLY BENT,56.95333,up,5,PARTIALLY BENT,131.62657,up,9,2251.2163150695073,2511.456339500363,23.30308006125017,33.09041925894716
82,810.47754,587.88025,874.474,628.916,756.7546,645.34534,733.8967,700.5438,779.4656,732.4606,974.03876,631.2038,951.1005,579.28033,702,521,1005,773,FULLY BENT,64.84929,up,5,PARTIALLY BENT,102.513084,up,9,2257.903876831332,2527.96384920001,23.43404075138732,32.187650757899156
83,811.2552,594.5778,876.10254,627.47266,762.14575,648.1354,731.27985,698.52814,775.57587,722.5541,965.6258,627.4012,956.4148,581.4846,701,523,999,763,FULLY BENT,78.70259,up,5,FULLY BENT,86.98743,up,10,2263.657166041682,2538.6066150970832,23.451601373207346,31.10200191679438
84,809.42816,595.5869,867.3835,625.8626,759.1282,637.63983,705.592,675.14404,744.7632,714.7654,952.52747,631.2694,950.96265,582.4403,673,527,998,754,FULLY BENT,84.53096,up,5,FULLY BENT,80.34007,up,10,2269.192440474695,2570.3884531503063,21.668283581804292,28.73660337957049
85,801.0214,592.4912,866.38605,633.3688,760.8307,634.50775,700.2104,669.32513,712.78894,706.8834,950.4178,642.0316,957.4913,590.3456,659,529,1005,771,PARTIALLY BENT,91.90695,up,5,PARTIALLY BENT,101.3549,up,10,2279.445064474817,2603.3198589501126,20.243583092027315,28.99408067024187
86,806.19525,593.8292,865.0165,632.9158,761.1913,634.30347,692.3105,670.5138,718.94977,710.1131,939.8679,647.10974,961.9089,612.05896,656,535,1017,780,PARTIALLY BENT,111.425446,up,5,FULLY BENT,83.80115,up,11,2301.603269179159,2610.275906654619,18.19720757783262,26.94240050186414
87,808.1966,600.91235,873.0974,638.51807,762.15875,632.34564,705.4741,657.05493,714.0606,677.41754,934.6148,662.4797,976.9221,635.6882,660,539,1032,773,PARTIALLY BENT,126.37419,up,5,PARTIALLY BENT,90.68864,up,11,2329.5985749801616,2643.3349948313034,18.989767786874115,26.706999227549446
