left_wrist_distance,right_wrist_distance,left_wrist_acceleration,right_wrist_acceleration,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,head_x,head_y,left_status,left_angle,left_direction,left_count,right_status,right_angle,right_direction,right_count
1444.0699980097977,1559.6979018991556,27.880367494587336,33.50511317976101,967.2611,507.94968,762.839,748.9375,1000.90765,592.5297,761.62573,703.8941,926.2015,627.0712,808.51776,651.1051,868.73846,586.6384,PARTIALLY BENT,93.12113,up,3,PARTIALLY BENT,136.84267,up,3
1460.5833609683837,1570.6389982787541,25.75345608513758,31.654931230997377,982.7372,513.7101,764.92584,738.19727,995.2665,600.4243,757.3127,695.4478,927.42096,635.7314,812.3374,649.66284,871.2645,585.88007,PARTIALLY BENT,109.2709,up,3,PARTIALLY BENT,119.665344,up,3
1479.3193891077701,1573.5924823695455,25.727780766280834,30.089366930285184,993.041,529.3584,765.3539,741.11957,985.54724,613.1999,752.5587,692.9227,927.8079,644.72314,809.09607,652.2061,867.3756,583.7383,PARTIALLY BENT,123.74022,up,3,PARTIALLY BENT,110.89259,up,3
1511.0377758396917,1589.014001862814,27.399544413366492,29.3152332632777,1003.50885,559.2997,759.6438,726.7941,985.09247,631.0708,743.2618,677.74005,923.9266,648.7246,805.1686,650.8136,867.5204,593.5448,PARTIALLY BENT,120.490814,up,3,PARTIALLY BENT,95.03952,up,3
1560.110690555659,1613.9539262253668,29.453470163985692,28.72290487051905,1010.73785,607.8372,781.18726,714.2291,984.2439,659.86084,741.49207,670.15686,916.24115,653.7298,800.80963,649.4131,860.9056,604.7846,PARTIALLY BENT,111.83649,up,3,FULLY BENT,67.26623,up,4
1611.588359522574,1651.1719365445435,31.53065464542821,28.658704266676367,1026.759,656.7583,763.42566,681.52277,985.771,676.6952,711.02704,660.47906,918.4756,654.1617,804.3184,645.5914,862.8003,608.78174,PARTIALLY BENT,135.54851,up,3,FULLY BENT,30.94775,up,4
1658.341030222089,1696.385705640728,33.17986707082792,30.956645927352163,1034.072,702.9355,739.39105,643.22626,981.1273,692.4579,687.60205,661.68207,925.8197,658.0223,788.99744,648.2305,866.63,609.94385,PARTIALLY BENT,159.28682,up,3,FULLY BENT,12.0573635,down,4
1681.5976611472597,1718.2941982044388,31.73701890390039,31.82676361147617,1031.8862,726.0892,737.7096,621.3824,983.0047,700.2349,685.5408,667.9645,928.9507,659.088,787.3984,656.07465,870.74603,609.1202,STRAIGHT,170.59601,up,3,FULLY BENT,35.10401,down,4
1706.822646396438,1743.1183150770516,29.809095493818788,31.92132170703873,1009.17084,737.0578,738.6586,596.5764,981.0055,703.8632,698.8839,656.85,925.8697,661.83563,791.3388,657.69086,862.6963,613.0916,STRAIGHT,167.63101,down,3,FULLY BENT,57.10014,down,4
1713.8258956241718,1758.8578857422692,29.093864890565115,28.474343513140816,1015.43866,740.1819,742.4421,581.29834,978.49695,710.53424,711.60864,656.3809,926.86194,665.1427,794.08325,661.018,858.5265,615.1593,STRAIGHT,177.43051,up,3,FULLY BENT,70.89202,down,4
1720.2959647221599,1763.9033478501979,27.560227817551905,24.355303184006075,1021.908,740.27765,737.41534,581.73267,980.9112,706.69965,733.03894,655.8607,926.01874,671.19543,796.7468,673.9885,858.17474,623.287,STRAIGHT,173.57587,down,3,PARTIALLY BENT,102.50474,down,4
1737.3765017931325,1791.311353483167,26.41051637379748,21.02324795595477,1009.775,728.2554,743.632,608.42633,965.57556,704.0919,755.3846,664.66766,921.24286,671.6488,801.57495,674.1231,854.8041,622.43353,STRAIGHT,172.46799,up,3,PARTIALLY BENT,113.37202,down,4
1778.7786019633422,1846.960562731359,27.55390659101064,22.694105206869306,978.3747,701.27106,768.7925,658.06287,948.6929,696.7877,772.18744,688.92725,909.71155,669.67426,812.69775,668.7311,852.24927,628.93945,PARTIALLY BENT,153.76883,up,3,FULLY BENT,69.7788,down,5
1828.2479959847012,1937.1246167725913,28.68202888474042,28.375205992033816,962.4449,654.43665,807.15753,739.6575,942.30524,658.24036,781.1455,709.77655,897.58044,653.7943,802.7126,674.7083,850.0719,630.57336,STRAIGHT,163.62764,up,3,PARTIALLY BENT,107.368034,up,5
1853.8495408728595,1959.194015070319,28.452424476245973,28.38363584511473,971.31506,630.42084,791.29706,755.0036,990.9916,679.13654,751.19995,718.20557,907.74335,661.5923,792.8778,672.8949,851.96106,619.1221,FULLY BENT,56.105244,up,4,FULLY BENT,89.93471,up,6
1874.2927090435105,1972.261011803439,28.681514068914186,27.504207326952248,970.27606,610.0041,799.2988,744.67316,981.81085,668.5261,747.3036,721.94885,905.8946,660.60583,790.0027,670.7308,855.69604,618.28485,FULLY BENT,72.893745,up,4,FULLY BENT,73.7905,up,6
1891.877222765464,1984.856181099222,28.75292411980536,27.61447885469788,969.65686,592.4305,802.3536,756.8923,963.8848,646.01,761.59357,720.90015,897.98694,653.9559,793.23615,673.7386,846.5171,617.5684,PARTIALLY BENT,103.0241,up,4,PARTIALLY BENT,97.586075,up,6
1901.6701141507547,2015.1000506161552,28.15671500286563,29.43383788310733,970.88306,582.71466,792.71173,728.2265,965.41974,640.1966,751.92566,711.8763,902.6102,646.70856,785.81195,663.5856,845.6327,612.99097,PARTIALLY BENT,101.34847,up,4,FULLY BENT,76.78684,up,7
